MT,SUB -BRANDS,COMPETITOR1,COMPETITOR2,AWARENESS
779.2,436.9,767.6,778.5,41.83
784.8,393.2,808.7,715.8,41.61
795.6,471.5,870.3,644.2,41.83
816.9,523.1,981.2,579.8,41.61
785.8,588.9,949.2,521.8,41.52
798.6,630.2,890,469.6,41.7
791.1,678.7,801,422.6,41.79
857.3,720.6,782.2,380.4,43.41
891.8,767.1,840.5,342.3,43.68
866.3,796.6,873,308.1,44.15
853,777.4,870.9,277.3,44.46
842.3,779.6,783.8,249.6,44.37
816.5,766.5,912.1,224.6,43.54
801.7,743.1,966.7,232.6,45.51
801.1,733.9,1063.7,274.7,44.98
788.4,724.1,1170.5,311.7,44.92
775.8,727.3,1257.4,344.9,45.26
761.6,654.6,1289.3,386.9,44.61
685.5,589.1,1160.4,654.3,44.32
672.5,530.2,1156,812.2,44.43
776.3,477.2,1163.1,1016.1,44.52
881.7,429.5,1105.5,1033,44.18
949.1,386.5,995,1173.6,44.25
1020.2,347.9,895.5,1296.7,45.1
1047.6,313.1,805.9,1476.2,47.1
1037.6,281.8,773.4,1434.1,46.62
1151.3,268.2,735.7,1532.5,46.45
1251.3,241.3,702.9,1618.3,47.38
1321.8,217.2,679.9,1666,46.76
1424.1,195.5,725.3,1587.7,47.45
1482.8,175.9,799.4,1607.6,47.57
1559.9,158.3,887.1,1702.6,47.61
1570.5,142.5,953.5,1635,47.59
1413.4,128.3,860,1523.3,47.93
1272.1,116,774,1388.6,47.36
1144.9,104.4,696.6,1253,46.83
1132.8,203.4,627,1133.5,45.48
1133.4,286,564.3,1020.2,43.58
1128.1,381.9,507.8,922.5,44.46
1015.3,343.7,457,835.6,43.98
970.6,382,411.3,752.1,44.23
935.7,343.8,370.2,684.6,44.49
842.1,386,333.2,702.8,44.62
757.9,350.6,299.9,691.4,44.7
738.2,384.6,464.4,687.6,44.68
731.3,346.2,612,696,44.81
725.7,372.2,550.8,626.4,45.99
719.6,335,495.7,573.4,46.04
647.7,382,557.8,742.7,45.11
661.5,423.2,615.7,859.9,45.27
664,461.5,662.9,976.3,44.08
665.4,415.3,700.1,1066.1,44.44
644.3,519.3,836.7,1097.7,44.2
662.2,637.9,952,1028.2,44.37
642.2,711.2,1052.4,976,44.42
669.4,688.3,1169.5,1036.8,44.18
602.5,744.7,1052.6,1088.9,44.4
612.8,741.8,947.3,1147.6,43.35
651.1,764,904.3,1078.3,42.12
653.3,717.6,1014.9,1017.4,41.54
658.2,771.6,1111.7,1029.7,41.86
592.4,781.1,1186.7,1037.2,42.02
656.9,813.4,1228.9,1043.5,42.02
756.4,732.1,1118.6,988.6,41.46
795.1,750.2,1006.7,928.6,41.5
854.3,675.2,1047.5,870.6,40.43
870.5,607.7,1085.1,820.7,40.57
850,546.9,1119.3,790.4,40.69
873.8,492.2,1135.3,753.6,40.28
842.8,443,1084.6,694.5,40.7
