main_thrust,sub_brand1,sub_brand2,sub_brand3,awareness
327.7,78.4,0,0,41.8283333
391.3,136.4,0,0,41.6083333
398.8,201.5,0,0,41.5225
443.8,248.1,0,0,41.6991667
447.6,297.7,0,0,41.7908333
543,341.1,0,0,43.4075
603.3,386,0,0,43.68
602.1,418.2,0,0,44.1541667
609.3,416.7,0,0,44.4641667
618.4,428.3,0,0,44.37
609.7,428.7,0,0,43.5383333
597.1,421.3,0,0,45.5058333
596,422.7,0,0,44.9841667
585.2,422.8,0,0,44.9233333
574,430.9,0,0,45.2583333
562.3,387.8,0,0,44.6066667
506.1,349,0,0,44.3183333
474,314.1,0,0,44.43
554.8,282.7,0,0,44.5204167
635.7,254.4,0,0,44.1845833
687.4,229,0,0,44.2479167
736.6,206.1,0,0,45.0995833
748.5,185.5,0,0,47.10375
725.3,166.9,0,0,46.6229167
786.6,155.1,0,0,46.4479167
841.1,139.6,0,0,47.3845833
872.5,125.6,0,0,46.7579167
929.5,113.1,0,0,47.44625
955.9,101.8,0,0,47.57375
997.8,91.6,0,0,47.60625
992.6,82.4,0,0,47.5908333
893.4,74.2,0,0,47.9316667
804,66.8,0,0.2,47.3566667
723.6,60.1,0,0.1,46.8316667
753.6,54.1,36.5,0.1,45.4791667
792.2,48.7,67.2,0.1,43.5783333
821,43.8,102,0.1,44.4616667
738.9,39.4,91.8,0.1,43.9791667
721.8,35.5,106.8,0.1,44.2325
711.8,32,96.1,0.1,44.4883333
640.7,28.8,112,0.1,44.6166667
576.6,25.9,101.9,0.1,44.7033333
548.9,23.3,114.7,0.1,44.6841667
529.9,21,103.3,0,44.8125
512.6,18.9,113.1,0,45.9858333
496.3,17,101.8,0,46.04
446.7,15.3,118.5,0,45.105
443.3,13.8,133.1,0,45.2725
434.4,12.4,146.7,0,44.0775
428.2,11.1,132,0,44.4383333
407.6,55.2,139.2,13.1,44.1991667
409.5,93.9,125.3,53.8,44.3683333
395.8,125.1,112.8,80.6,44.4166667
401.9,160.8,101.5,72.6,44.1775
361.7,193.4,91.3,90.8,44.395
363.9,174,82.2,105.6,43.3516667
380.5,156.6,74,127.2,42.12125
377.6,170.9,66.6,114.5,41.5404167
376.1,192.6,59.9,132,41.8645833
338.5,173.3,67,134.6,42.0204167
428.4,184.2,87.7,121.2,42.0154167
550.7,165.8,79,109,41.4645833
610,149.2,101.5,98.1,41.49625
657.2,134.3,91.4,88.3,40.4254167
671.8,120.9,82.2,79.5,40.5720833
649,108.8,74,71.5,40.6879167
669.7,97.9,66.6,64.4,40.2795833
640.4,88.1,59.9,57.9,40.6979167
